연번,지자체명,세부사업명,예산(백만원)
396,경북,마을기업육성사업,182.0
397,경북,마을기업육성사업(교육컨설팅지원)(2-1단계전환사업),600.0
398,경북,사회적경제육성,390.0
399,경북,경북동해안철강벨트경쟁력강화사업,300.0
400,경북,자동차부품산업경쟁력강화지원사업,370.0
401,경북,전략산업선도기업육성사업,300.0
402,경북,위생시설개선자금융자사업,500.0
403,경북,수출기업지원정책추진,4524.0
404,경북,지역산업마케팅,4250.0
405,경북,창업활성화를통한일자리창출,2467.2
406,경북,착한가격업소활성화지원,350.702
407,경북,경북PRIDE기업육성지원,1500.0
408,경북,경상북도디자인산업육성,112.2
409,경북,경북디자인산업육성프로젝트,1200.0
410,경북,경상북도향토뿌리기업육성,155.015
411,경북,벤처기업경쟁력강화,2510.0
412,경북,벤처창업붐조성,360.0
413,경북,소상공인육성자금지원업체이차보전,4000.0
414,경북,운전자금이차보전지원사업,4100.0
415,경북,경북세일페스타마케팅지원(전환사업),3166.0
416,경북,중소기업인증브랜드홍보및판로개척,1412.0
417,경북,중소기업공제사업기금이차보전,150.0
418,경북,중소기업기술지원사업,833.6
419,경북,중소기업역량강화지원,1066.0
420,경북,창업및경쟁력강화사업,53680.0
421,경북,고졸청년신산업분야내일찾기지원사업,84.156
422,경북,중소기업정규직프로젝트,601.2
423,경북,청년고용분위기조성,406.0
424,경북,지방기업투자촉진사업,21819.618
425,경북,수산물산지가공시설(전환사업),750.0
426,경북,수산박람회참가경비지원,27.0
427,경북,굴뚝원격감시체계구축,166.75
428,경북,소규모영세사업장방지시설지원,1769.48
429,경북,환경사고예방사업,120.0
430,경북,경북지역기반게임산업육성사업(국가직접지원),348.0
431,경북,IT여성취창업지원사업(국가직접지원),30.0
432,경북,지역SW품질역량강화사업(국가직접지원),85.0
433,경북,스마트공장보급지원(국가직접지원),840.0
434,경북,특성화시장육성사업(국가직접지원),262.5
435,경북,지역지식재산창출지원사업(국가직접지원),2017.0
436,경북,지역특화산업육성사업(국가직접지원),7465.0
437,경북,글로벌강소기업경쟁력강화사업(국가직접지원),400.0
438,경북,소상공인지원사업,2255.52
439,경북,소상공인역량강화,245.48
440,경북,투자기업지원보조금,6715.55
441,경북,중소기업창업및경쟁력강화사업자금,580.0
442,경북,중소기업운전자금이차보전,4100.0
443,경북,중소기업보험료지원,500.0
444,경북,지역베어링산업육성및경쟁력강화사업,100.0
445,경북,경량소재산업육성및경쟁력강화사업,100.0
446,경북,퍼스널케어융합얼라이언스육성,187.5
447,경북,뷰티산업밸류체인컨버전스지원사업(국가직접지원),250.0
448,경북,벤처기업인프라지원,242.0
449,경북,품질경영분임조활성화지원,47.2
450,경북,미래형신산업기업청년일자리사업,138.886
451,경북,지역특화청년창업기업일자리사업,186.53
452,경북,경북사회적경제ESG청년일자리(시군),5.23
453,경북,원자력산업육성및지원추진,4647.82
454,경북,에너지산업육성및지원추진,4762.304
455,경북,소상공인새바람체인지업사업,500.0
456,경북,소상공인IP지원사업(국가직접지원),250.0
457,경북,경제단체지원,510.0
458,경북,RPC집진시설개보수사업,673.4
459,경북,RPC시설장비지원,700.0
460,경북,차량용첨단소재성형가공기업지원사업,200.0
461,경북,청년근로자행복카드지원,700.0
